document_id,subjectCategories,title,abstract,createDate,publicationDate,downloads_pdf_url,downloads_text_url,center,copyright,related
19810002806,ELECTRONICS AND ELECTRICAL ENGINEERING,"User's design handbook for a Standardized Control Module (SCM) for DC to DC Converters, volume 2","A unified design procedure is presented for selecting the key SCM control parameters for an arbitrarily given power stage configuration and parameter values, such that all regulator performance specifications can be met and optimized concurrently in a single design attempt. All key results and performance indices, for buck, boost, and buck/boost switching regulators which are relevant to SCM design considerations are included to facilitate frequent references.",2013-09-04,1980-04-01,/api/citations/19810002806/downloads/19810002806.pdf,/api/citations/19810002806/downloads/19810002806.txt,CDMS,GOV_PUBLIC_USE_PERMITTED,
19810002807,ELECTRONICS AND ELECTRICAL ENGINEERING,Modular instrumentation system for real-time measurements and control on reciprocating engines,"An instrumentation system was developed for reciprocating engines. Among the parameters measured are the indicated mean effective pressure, or theoretical work per cycle, and the mass fraction burn rate, a measure of the combustion rate in the cylinder. These computations are performed from measured cylinder pressure and crankshaft angle and are available in real time for the experimenter. A 100 or 200 consecutive-cycle sample is analyzed to reduce the effect of cyclic variations in the engine. Data are displayed in bargraph form, and the mean and standard deviation are computed. Other instruments are also described.",2013-09-04,1980-11-01,/api/citations/19810002807/downloads/19810002807.pdf,/api/citations/19810002807/downloads/19810002807.txt,CDMS,GOV_PUBLIC_USE_PERMITTED,
19810001734,COMMUNICATIONS AND RADAR,Second year technical report on-board processing for future satellite communications systems,"Advanced baseband and microwave switching techniques for large domestic communications satellites operating in the 30/20 GHz frequency bands are discussed. The nominal baseband processor throughput is one million packets per second (1.6 Gb/s) from one thousand T1 carrier rate customer premises terminals. A frequency reuse factor of sixteen is assumed by using 16 spot antenna beams with the same 100 MHz bandwidth per beam and a modulation with a one b/s per Hz bandwidth efficiency. Eight of the beams are fixed on major metropolitan areas and eight are scanning beams which periodically cover the remainder of the U.S. under dynamic control. User signals are regenerated (demodulated/remodulated) and message packages are reformatted on board. Frequency division multiple access and time division multiplex are employed on the uplinks and downlinks, respectively, for terminals within the coverage area and dwell interval of a scanning beam. Link establishment and packet routing protocols are defined. Also described is a detailed design of a separate 100 x 100 microwave switch capable of handling nonregenerated signals occupying the remaining 2.4 GHz bandwidth with 60 dB of isolation, at an estimated weight and power consumption of approximately 400 kg and 100 W, respectively.",2013-09-04,1980-10-01,/api/citations/19810001734/downloads/19810001734.pdf,/api/citations/19810001734/downloads/19810001734.txt,CDMS,GOV_PUBLIC_USE_PERMITTED,
19810002941,ENERGY PRODUCTION AND CONVERSION,Electric and hybrid vehicle system R/D,"The work being done to characterize the level of current propulsion technology through component testing is described. Important interactions between the battery and the propulsion system will be discussed. Component development work, involving traction motors, motor controllers and transmissions are described and current results are presented. Studies of advanced electric and hybrid propulsion system studies are summarized and the status of propulsion system development work supported by the project is described. A strategy for fostering joint industry/government projects for commercialization of propulsion components and systems is described briefly.",2013-09-04,1980-09-17,/api/citations/19810002941/downloads/19810002941.pdf,/api/citations/19810002941/downloads/19810002941.txt,CDMS,GOV_PUBLIC_USE_PERMITTED,
19810002942,ENERGY PRODUCTION AND CONVERSION,Identification and analysis of factors affecting thermal shock resistance of ceramic materials in solar receivers,"An analysis was conducted of the possible modes of thermal stress failure of brittle ceramics for potential use in point-focussing solar receivers. The pertinent materials properties which control thermal stress resistance were identified for conditions of steady-state and transient heat flow, convective and radiative heat transfer, thermal buckling and thermal fatigue as well as catastrophic crack propagation. Selection rules for materials with optimum thermal stress resistance for a particular thermal environment were identified. Recommendations for materials for particular components were made. The general requirements for a thermal shock testing program quantitatively meaningful for point-focussing solar receivers were outlined. Recommendations for follow-on theoretical analyses were made.",2013-08-11,1980-07-15,/api/citations/19810002942/downloads/19810002942.pdf,/api/citations/19810002942/downloads/19810002942.txt,CDMS,GOV_PUBLIC_USE_PERMITTED,
19810002948,ENERGY PRODUCTION AND CONVERSION,Satellite power system salvage and disposal alternatives,"A wide range of salvage options for the SPS satellite, ranging from use in and beyond geosynchronous orbit to use in low Earth orbit in return and use on Earth are presented. The satellite can be used intact to provide power for various purposes, it can be cannibalized or it can be melted down to supply materials for space or ground based products. The use of SPS beyond its nominal lifetime provides value that can be deducted from the SPS capital investment cost. The present value of the salvage value of the SPS satellites, referenced to the system initial operation data, is on the order of five to ten percent of its on-orbit capital cost. (Given a 30 year satellite lifetime and a four percent discount rate, the theoretical maximum salvage value is 30.8 percent of the capital cost.) The SPS demonstration satellite is available some 30 years earlier than the first full scale SPS satellite and has a salvage value on the order of 80 percent of its on-orbit capital cost. In the event that it becomes desirable to dispose of either the demonstration of full scale SPS satellite, a number of disposal options is presented for which intact disposal costs are less than one percent of capital costs.",2013-09-04,1980-11-01,/api/citations/19810002948/downloads/19810002948.pdf,/api/citations/19810002948/downloads/19810002948.txt,CDMS,GOV_PUBLIC_USE_PERMITTED,
19810003086,GEOPHYSICS,Feasibility of quasi-random band model in evaluating atmospheric radiance,"The use of the quasi-random band model in evaluating upwelling atmospheric radiation is investigated. The spectral transmittance and total band adsorptance are evaluated for selected molecular bands by using the line by line model, quasi-random band model, exponential sum fit method, and empirical correlations, and these are compared with the available experimental results. The atmospheric transmittance and upwelling radiance were calculated by using the line by line and quasi random band models and were compared with the results of an existing program called LOWTRAN. The results obtained by the exponential sum fit and empirical relations were not in good agreement with experimental results and their use cannot be justified for atmospheric studies. The line by line model was found to be the best model for atmospheric applications, but it is not practical because of high computational costs. The results of the quasi random band model compare well with the line by line and experimental results. The use of the quasi random band model is recommended for evaluation of the atmospheric radiation.",2013-09-04,1980-08-01,/api/citations/19810003086/downloads/19810003086.pdf,/api/citations/19810003086/downloads/19810003086.txt,CDMS,GOV_PUBLIC_USE_PERMITTED,
19810003137,COMPUTER OPERATIONS AND HARDWARE,An Imaging Infrared (IIR) seeker using a microprogrammed processor,"A recently developed Imaging Infrared Seeker uses a microprogrammed processor to perform gimbal servo control and system interface while performing the seeker functions of automatic target detection, acquisition, and tracking. The automatic detection mode requires up to 80% of the available capability of a high performance microprogrammed processor. Although system complexity was increased significantly, this approach can be cost effective when the basic computation capacity is already available.",2013-08-11,1980-01-01,/api/citations/19810003137/downloads/19810003137.pdf,/api/citations/19810003137/downloads/19810003137.txt,CDMS,GOV_PUBLIC_USE_PERMITTED,19810003136
19810003140,COMPUTER OPERATIONS AND HARDWARE,Synergistic instrument design,An instrument design approach for use in the Galileo Project is presented. The approach emphasizes that all instrument systems are compatible and allow the most efficient use of available hardware and software.,2013-08-11,1980-01-01,/api/citations/19810003140/downloads/19810003140.pdf,/api/citations/19810003140/downloads/19810003140.txt,CDMS,GOV_PUBLIC_USE_PERMITTED,19810003136
19810003143,COMPUTER OPERATIONS AND HARDWARE,Application of a microprocessor to a spacecraft attitude control,"The attitude control system (ACS) microprocessor development work spanned three main design areas: hardware and instruction set, ACS firmware, and hardware firmware verification testing. The processor hardware utilizes two parallel 4 bit microprocessors. The firmware includes data processing for five sensors, four attitude control laws, and telemetry and commands.",2013-08-11,1980-01-01,/api/citations/19810003143/downloads/19810003143.pdf,/api/citations/19810003143/downloads/19810003143.txt,CDMS,GOV_PUBLIC_USE_PERMITTED,19810003136
